case_id,learner_group,trace,risk_1,risk_2,risk_4,repair_profile
case_68d1cc65b99e9e609793,learner_e487a30fc9b5edf431,"[{""program"":""let v0 v1 = let v2 = if ( v1 > 331 ) then ( v1 mod 330 ) :: ( v0 ( v1 / 330 ) ) else [ ] in v3 ( v2 v1 )"",""diagnostic"":""in v3 (v2 v1);; ^^^^^^^^^^ Error: This expression has type int list This is not a function; it cannot be applied."",""error_family"":""typing"",""repeat_count"":1},{""program"":""let v0 v1 = let v2 v1 = if ( v1 > 331 ) then ( v1 mod 330 ) :: ( v0 ( v1 / 330 ) ) else [ ] in v3 ( v2 v1 )"",""diagnostic"":"""",""error_family"":""clear"",""repeat_count"":1},{""program"":""let v0 v1 = let v2 v1 = if ( v1 > 331 ) then ( v1 mod 330 ) :: ( v0 ( v1 / 330 ) ) else [ ] in v3 ( v2 v1 )"",""diagnostic"":""in v3 (v2 v1);; ^^^^^^^^^^^^^^ Error: This expression has type int list but an expression was expected of type 'a list list Type int is not compatible with type 'a list"",""error_family"":""typing"",""repeat_count"":1}]",1,0,0,"[0.5,0.0,0.5,0.0]"
case_c45495770cabdd8c1e60,learner_7017b8e8c159813623,"[{""program"":""let v1 v3 = if v3 <= 421 then [ ] else let v2 = v3 mod 420 in let v0 = v3 / 420 in v2 :: v1 v0"",""diagnostic"":""v2::v1 v0;; ^^^^^^^^^^^^^^ Error: Unbound value v1"",""error_family"":""name"",""repeat_count"":2}]",0,0,0,"[1.0,0.0,0.0,0.0]"
case_e26587a1e458fa2977c4,learner_c389af10e1db9fa30d,"[{""program"":""let rec v6 ( v2 , v1 ) = let v4 = v2 v1 in match v4 with | ( v0 , v5 ) -> if v5 = false then v0 else v6 ( v2 , v0 )"",""diagnostic"":"""",""error_family"":""clear"",""repeat_count"":1},{""program"":""let rec v6 ( v2 , v1 ) = let v4 = v2 v3 in match v4 with | ( v3 , v5 ) -> if v5 = false then v3 else v6 ( v2 , v3 )"",""diagnostic"":""let v4 = v2 v3 in ^^ Error: Unbound value v3"",""error_family"":""name"",""repeat_count"":1},{""program"":""let rec v6 ( v2 , v1 ) = let v4 = ( v2 , v3 ) in match v4 with | ( v3 , v5 ) -> if v5 = false then v3 else v6 ( v2 , v3 )"",""diagnostic"":""let v4 = (v2, v3) in ^^ Error: Unbound value v3"",""error_family"":""name"",""repeat_count"":1}]",1,0,0,"[0.2857142857,0.7142857143,0.0,0.0]"
case_862f1f1f6630a94fabf4,learner_ac4e5a6561ccb5227e,"[{""program"":""let rec v5 ( v3 , v1 , v4 ) = match v3 with | C1 -> v2 | C0 -> v0"",""diagnostic"":"""",""error_family"":""clear"",""repeat_count"":1},{""program"":""let rec v5 ( v3 , v1 , v4 ) = match v3 with | C1 -> v2 * 641.0 | C0 -> v0 * 641.0"",""diagnostic"":""| C1 -> v2 * N ^^^^^^ Error: This expression has type unit -> expr but an expression was expected of type int"",""error_family"":""typing"",""repeat_count"":1},{""program"":""let rec v5 ( v3 , v1 , v4 ) = match v3 with | C1 -> v2 * 641.0"",""diagnostic"":""| C1 -> v2 * N;; ^^^^^^ Error: This expression has type unit -> expr but an expression was expected of type int"",""error_family"":""typing"",""repeat_count"":1}]",1,1,0,"[0.0,0.0,0.0,1.0]"
case_a66987e3555b666f1e86,learner_dddcdd84c83239d7b2,"[{""program"":""let v3 ( v0 , v1 ) = let v2 = v0 v1 in if v2 = v1 then v1 else v3 v0 v2"",""diagnostic"":""if v2 = v1 then v1 else v3 v0 v2;; ^^^^^^^^ Error: Unbound value v3"",""error_family"":""name"",""repeat_count"":1}]",1,0,0,"[0.25,0.0,0.0,0.75]"
case_b47ddc39f27c1f9767b3,learner_1b2a456a837f4b9d6e,"[{""program"":""let v4 v2 = let v5 v3 v6 = v6 ( v3 ) in let v0 = v3 in List . fold_left v5 v0 v2"",""diagnostic"":""let v0 = v3 in ^ Error: Unbound value v3"",""error_family"":""name"",""repeat_count"":1},{""program"":""let v4 v2 = let v5 v3 v6 = v6 ( v3 ) in let v0 = v1 in List . fold_left v5 v0 v2"",""diagnostic"":""let v0 = v1 in ^ Error: Syntax error"",""error_family"":""syntax"",""repeat_count"":1},{""program"":""let v4 v2 = let v5 v3 v6 = v6 ( v3 ) in let v0 = fun v6 in List . fold_left v5 v0 v2"",""diagnostic"":""let v0 = fun v6 in ^^ Error: Syntax error"",""error_family"":""syntax"",""repeat_count"":1}]",1,1,0,"[0.0,0.0,1.0,0.0]"
case_38ecaf8f1bcc92868e99,learner_6853110a3513bb91a7,"[{""program"":""let v3 v0 = let rec v1 v2 v0 = if v0 < 382 then v0 :: v2 else v1 ( ( v0 mod 382 ) :: v2 ) ( v0 / 382 ) in v1 [ ] v0"",""diagnostic"":"""",""error_family"":""clear"",""repeat_count"":6},{""program"":""let v3 v0 = if v0 < 381 then [ ] else let rec v1 v2 v0 = if v0 < 382 then v0 :: v2 else v1 ( ( v0 mod 382 ) :: v2 ) ( v0 / 382 ) in v1 [ ] v0"",""diagnostic"":"""",""error_family"":""clear"",""repeat_count"":2},{""program"":""let v3 v0 = if v0 < 381 then [ ] else let rec v1 v0 v2 = if v0 < 382 then v0 :: v2 else v1 ( ( v0 mod 382 ) :: v2 ) ( v0 / 382 ) in v1 [ ] v0"",""diagnostic"":""else v1 ((v0 mod N)::v2) (v0/N) in ^^^^^^^^^^^^^^^^^ Error: This expression has type 'a list but an expression was expected of type int"",""error_family"":""typing"",""repeat_count"":1}]",1,0,0,"[0.0,1.0,0.0,0.0]"
case_760bbddc7526cc30abb1,learner_0dd3229de440a31f2e,"[{""program"":""let rec v8 ( v5 , v3 , v2 ) = match v5 with | C0 ( v9 , v1 , v0 , v4 ) -> if v8 ( v9 , v3 , v2 ) < v8 ( v1 , v3 , v2 ) then v8 ( v0 , v3 , v2 ) else v8 ( v4 , v3 , v2 ) | C7 ( v1 , v0 ) -> ( v8 ( v1 , v3 , v2 ) +!!! v8 ( v0 , v3 , v2 ) ) | C1 ( v1 , v0 ) -> ( ( v8 ( v1 , v3 , v2 ) +! v8 ( v0 , v3 , v2 ) ) +!! 486.0 ) | C5 v1 -> cos ( v7 +!!! v8 ( v1 , v3 , v2 ) ) | C4 v1 -> sin ( v7 +!!! v8 ( v1 , v3 , v2 ) ) | C2 -> v3 | C6 -> v2"",""diagnostic"":"""",""error_family"":""clear"",""repeat_count"":2},{""program"":""let rec v8 ( v5 , v3 , v2 ) = match v5 with | C0 ( v9 , v1 , v0 , v4 ) -> if v8 ( v9 , v3 , v2 ) < v8 ( v1 , v3 , v2 ) then v8 ( v0 , v3 , v2 ) else v8 ( v4 , v3 , v2 ) | C3 ( v9 , v1 , v0 ) -> ( v8 ( v9 , v3 , v2 ) +!!! v8 ( v1 , v3 , v2 ) ) +!! ( v6 ( v8 ( v9 , v3 , v2 ) +!!! v8 ( v1 , v3 , v2 ) ) v0 ) | C7 ( v1 , v0 ) -> ( v8 ( v1 , v3 , v2 ) +!!! v8 ( v0 , v3 , v2 ) ) | C1 ( v1 , v0 ) -> ( ( v8 ( v1 , v3 , v2 ) +! v8 ( v0 , v3 , v2 ) ) +!! 486.0 ) | C5 v1 -> cos ( v7 +!!! v8 ( v1 , v3 , v2 ) ) | C4 v1 -> sin ( v7 +!!! v8 ( v1 , v3 , v2 ) ) | C2 -> v3 | C6 -> v2"",""diagnostic"":""| C3 (v9,v1,v0) -> (v8(v9,v3,v2) +!!! v8(v1,v3,v2)) +!! (v6 (v8(v9,v3,v2) +!!! v8(v1,v3,v2)) v0 ) ^ Error: This expression has type expr but an expression was expected of type float"",""error_family"":""typing"",""repeat_count"":1},{""program"":""let rec v8 ( v5 , v3 , v2 ) = match v5 with | C0 ( v9 , v1 , v0 , v4 ) -> if v8 ( v9 , v3 , v2 ) < v8 ( v1 , v3 , v2 ) then v8 ( v0 , v3 , v2 ) else v8 ( v4 , v3 , v2 ) | C3 ( v9 , v1 , v0 ) -> ( v8 ( v9 , v3 , v2 ) +!!! v8 ( v1 , v3 , v2 ) ) +!! ( v6 ( v8 ( v9 , v3 , v2 ) +!!! v8 ( v1 , v3 , v2 ) ) v8 ( v0 , v3 , v2 ) ) | C7 ( v1 , v0 ) -> ( v8 ( v1 , v3 , v2 ) +!!! v8 ( v0 , v3 , v2 ) ) | C1 ( v1 , v0 ) -> ( ( v8 ( v1 , v3 , v2 ) +! v8 ( v0 , v3 , v2 ) ) +!! 486.0 ) | C5 v1 -> cos ( v7 +!!! v8 ( v1 , v3 , v2 ) ) | C4 v1 -> sin ( v7 +!!! v8 ( v1 , v3 , v2 ) ) | C2 -> v3 | C6 -> v2"",""diagnostic"":""| C3 (v9,v1,v0) -> (v8(v9,v3,v2) +!!! v8(v1,v3,v2)) +!! (v6 (v8(v9,v3,v2) +!!! v8(v1,v3,v2)) v8(v0,v3,v2) ) ^^^^^^^^^ Error: This function has type float -> float -> float It is applied to too many arguments; maybe you forgot a `;'."",""error_family"":""typing"",""repeat_count"":1}]",1,0,0,"[0.0,0.25,0.75,0.0]"
case_c4fc4fb4e19eaf236cfd,learner_3ce15c30398ba438cd,"[{""program"":""let v0 v2 = match v2 with | [ v4 ] -> [ v4 ] | v3 :: v1 -> append ( v0 v1 ) v3"",""diagnostic"":""| v3::v1 -> append (v0 v1) v3;; ^^^^^^ Error: Unbound value append"",""error_family"":""name"",""repeat_count"":1}]",0,0,0,"[0.6,0.2,0.2,0.0]"
case_e07a505332adf039531b,learner_173aa42c0749e26ea8,"[{""program"":""let rec v0 v1 = if v1 <= 528 then [ ] else v0 ( v1 / 529 ) @ [ v1 mod 529 ]"",""diagnostic"":"""",""error_family"":""clear"",""repeat_count"":1},{""program"":""let rec v0 v1 = v0 ( v1 / 529 ) @ [ v1 mod 529 ]"",""diagnostic"":"""",""error_family"":""clear"",""repeat_count"":1},{""program"":""let rec v0 v1 = if v1 > 528 v0 ( v1 / 529 ) @ [ v1 mod 529 ] else [ ]"",""diagnostic"":""else [];; ^^^^ Error: Syntax error"",""error_family"":""syntax"",""repeat_count"":1}]",0,0,0,"[0.0,1.0,0.0,0.0]"
